query,q-precision,p@cutoff,s-precision,DCG,hits,time-lag
"[{'bool': {'should': {'match': {'name': 'Counter-Strike'}}}}, {'bool': {'should': {'match': {'tags': 'Counter-Strike'}}}}, {'bool': {'should': {'match': {'short_description': 'Counter-Strike'}}}}]",0.5,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.83, 0.71, 0.62, 0.56, 0.5]",0.5,3.7,10,70
"[{'bool': {'should': {'match': {'name': 'Games for Children'}}}}, {'bool': {'should': {'match': {'tags': 'Games for Children'}}}}, {'bool': {'should': {'match': {'short_description': 'Games for Children'}}}}]",0.8,"[1.0, 1.0, 0.67, 0.5, 0.6, 0.67, 0.71, 0.75, 0.78, 0.8]",0.8,4.51,12,87
"[{'bool': {'should': {'match': {'name': 'Multiplayer'}}}}, {'bool': {'should': {'match': {'tags': 'Multiplayer'}}}}, {'bool': {'should': {'match': {'short_description': 'Multiplayer'}}}}]",1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,6.14,12,40
"[{'bool': {'should': {'match': {'name': 'Indie heartfelt'}}}}, {'bool': {'should': {'match': {'tags': 'Indie heartfelt'}}}}, {'bool': {'should': {'match': {'short_description': 'Indie heartfelt'}}}}] PRICE<=50",0.9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]",0.95,5.7,12,65
"[{'bool': {'should': {'match': {'name': 'Games for Children'}}}}, {'bool': {'should': {'match': {'tags': 'Games for Children'}}}}, {'bool': {'should': {'match': {'short_description': 'Games for Children'}}}}] PRICE<=5",0.7,"[1.0, 0.5, 0.33, 0.5, 0.6, 0.67, 0.71, 0.75, 0.78, 0.7]",0.87,3.35,12,45
"[{'bool': {'should': {'match': {'name': 'Games with ducks'}}}}, {'bool': {'should': {'match': {'tags': 'Games with ducks'}}}}, {'bool': {'should': {'match': {'short_description': 'Games with ducks'}}}}] tags = ['indie']",0.5,"[0.0, 0.0, 0.0, 0.25, 0.4, 0.33, 0.43, 0.5, 0.56, 0.5]",0.77,2.79,12,74
"[{'bool': {'should': {'match': {'name': 'Robot'}}}}, {'bool': {'should': {'match': {'tags': 'Robot'}}}}, {'bool': {'should': {'match': {'short_description': 'Robot'}}}}] tags = ['indie']",1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.82,6.14,12,48
"[{'bool': {'should': {'match': {'name': 'Disney'}}}}, {'bool': {'should': {'match': {'tags': 'Disney'}}}}, {'bool': {'should': {'match': {'short_description': 'Disney'}}}}]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.77,6.55,11,31.0
"[{'bool': {'should': {'match': {'name': 'What if'}}}}, {'bool': {'should': {'match': {'tags': 'What if'}}}}, {'bool': {'should': {'match': {'short_description': 'What if'}}}}]",0.2,"[1.0, 1.0, 0.67, 0.5, 0.4, 0.33, 0.29, 0.25, 0.22, 0.2]",0.8,1.44,12,26.0
"[{'bool': {'should': {'match': {'name': 'Cheap Games'}}}}, {'bool': {'should': {'match': {'tags': 'Cheap Games'}}}}, {'bool': {'should': {'match': {'short_description': 'Cheap Games'}}}}]",0.6,"[1.0, 1.0, 0.67, 0.75, 0.6, 0.67, 0.71, 0.62, 0.67, 0.6]",0.73,3.69,12,35.0
